datasetKey	searchQuery	publisherKey	title	publisher	datasetCategory
24e31afb-7fc7-45d0-a899-3821bfa26730	percentNN_0.4921_countNN_31_distanceNN_0.09	NA	Réseau Loup - Lynx ONCFS - Lynx 1995 présence Occasionnelle Mailles 10km Réseau Loup-Lynx ONCFS	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
24e31afb-7fc7-45d0-a899-3821bfa26730	percentNN_0.4921_countNN_31_distanceNN_0.09	NA	Réseau Loup - Lynx ONCFS - Lynx 1995 présence Occasionnelle Mailles 10km Réseau Loup-Lynx ONCFS	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
6e0c591b-8be6-4946-9e56-090037a1d9d0	percentNN_0.5142_countNN_109_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Alouette lulu 1999 - 2003 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
6e0c591b-8be6-4946-9e56-090037a1d9d0	percentNN_0.5142_countNN_109_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Alouette lulu 1999 - 2003 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
af0c7238-b6c5-4a4d-9fa7-7fb94516d0bc	percentNN_0.987_countNN_5325_distanceNN_0.09	NA	Données naturalistes opportunistes Faune-France - Liste des espèces de la faune sauvage de la base de données naturalistes Faune-France 2017.	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
af0c7238-b6c5-4a4d-9fa7-7fb94516d0bc	percentNN_0.9867_countNN_5323_distanceNN_0.09	NA	Données naturalistes opportunistes Faune-France - Liste des espèces de la faune sauvage de la base de données naturalistes Faune-France 2017.	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
d3e1f5c1-0062-452c-8427-97aaa7061391	percentNN_0.7942_countNN_598_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Grive draine 2008 - 2012 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
d3e1f5c1-0062-452c-8427-97aaa7061391	percentNN_0.7928_countNN_597_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Grive draine 2008 - 2012 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
6897a0a6-e7c7-41ad-b6d2-61b19a2d6b3e	percentNN_0.7937_countNN_608_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Grive draine 2005 - 2009 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
6897a0a6-e7c7-41ad-b6d2-61b19a2d6b3e	percentNN_0.7937_countNN_608_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Grive draine 2005 - 2009 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
